Account,Amount Paid,Risk_Score,Is Laundering
8DD6E46E0,337.41,40.0,0
87AE9AE90,314.87,40.0,0
80BABCFC0,790.6,40.0,0
90B943180,295.13,40.0,0
A2861E9E0,1674.95,40.0,0
8BFC7E5C0,904.45,40.0,0
89CBBA7E0,329.6,40.0,0
8D88D1DC0,297.15,40.0,0
8D88D8340,588.74,40.0,0
8E6977540,362.95,40.0,0
8E6981AD0,362.38,40.0,0
8B9FD7370,487.16,40.0,0
A28622BB0,3775.72,40.0,0
A28622C00,2967.97,40.0,0
8A4456450,451.93,40.0,0
A28622C50,2986.83,40.0,0
88C84D1A0,539.61,40.0,0
82BA81130,505.02,40.0,0
821274A80,446.11,40.0,0
8E1DC5B30,653.91,40.0,0
88402E6D0,445.25,40.0,0
82128B7C0,441.02,40.0,0
8168D7E70,296.27,40.0,0
89CC18880,291.98,40.0,0
A28623D60,1863.58,40.0,0
A28623EA0,3737.61,40.0,0
A286242F0,2370.45,40.0,0
80BDDB850,294.04,40.0,0
835CA5B00,1670.5,40.0,0
A28624660,4249.58,40.0,0
92A94BDC0,1054.06,40.0,0
8D3328BA0,292.85,40.0,0
88407A2B0,1504.22,40.0,0
89CD229D0,388.88,40.0,0
8212DCE90,314.06,40.0,0
8F72C8F50,462.06,40.0,0
A28624F20,4183.3,40.0,0
A28624F70,3150.71,40.0,0
84DEDEE00,737.64,40.0,0
8213314E0,1581.83,40.0,0
90B985B70,3925.95,40.0,0
87AF7F750,351.69,40.0,0
8EBC44BD0,407.91,40.0,0
91F10F910,4310.16,40.0,0
8B347D900,293.99,40.0,0
870804830,2114.84,40.0,0
821360E40,333.55,40.0,0
8D8935910,2251.35,40.0,0
A28625BB0,3367.18,40.0,0
859DCBA80,295.09,40.0,0
8F41EBBA0,1635.38,40.0,0
8E1E28250,854.79,40.0,0
911001E20,898.07,40.0,0
90F2B3440,977.05,40.0,0
8708200C0,397.96,40.0,0
84250B1E0,425.38,40.0,0
8D8A3BA70,389.43,40.0,0
88CBAB5A0,1732.49,40.0,0
91F10F960,1738.74,40.0,0
A28625C00,2342.9,40.0,0
835E1F180,1286.47,40.0,0
A28625C50,1667.97,40.0,0
8842E99C0,460.79,40.0,0
800A589A0,295.45,40.0,0
8BA081DE0,294.89,40.0,0
870866FE0,353.51,40.0,0
8BFF7EE10,316.59,40.0,0
84E0FE240,336.01,40.0,0
8E6B0E510,1808.03,40.0,0
89D235520,387.76,40.0,0
84E1AC980,485.59,40.0,0
A28A68920,294.53,40.0,0
82BDF5F20,289.76,40.0,0
8BA0BB2A0,421.48,40.0,0
84E1C2C50,444.64,40.0,0
89D2CBA30,1413.26,40.0,0
84E1CC8B0,775.71,40.0,0
8D3407E20,363.64,40.0,0
9011BBFC0,832.05,40.0,0
92A94BFA0,659.01,40.0,0
87097A200,3648.37,40.0,0
8AC04A2A0,641.27,40.0,0
84266A7C0,831.18,40.0,0
90B9A3AA0,396.3,40.0,0
A28A96950,999.42,40.0,0
865703F00,883.03,40.0,0
A28F97D30,993.33,40.0,0
A2910F0F0,432.3,40.0,0
9011F0FB0,981.07,40.0,0
A29239380,295.32,40.0,0
912AEBCC0,1264.26,40.0,0
A2980B7D0,342.37,40.0,0
A299C4740,614.98,40.0,0
A29BE4770,341.63,40.0,0
8C03EC900,297.17,40.0,0
88CD377B0,830.94,40.0,0
8DDBD6D40,477.07,40.0,0
800CA7D50,457.72,40.0,0
870ADA660,327.55,40.0,0
800CAC520,485.71,40.0,0
80C2FBE60,308.2,40.0,0
800CB8240,378.33,40.0,0
88CE35710,309.08,40.0,0
91580F440,477.9,40.0,0
A2A286550,5979.89,40.0,0
A2A432340,474.29,40.0,0
83628F1D0,298.89,40.0,0
84E315420,1208.73,40.0,0
8FE7E7720,404.28,40.0,0
884589150,420.08,40.0,0
8D3604EB0,316.35,40.0,0
88CED21A0,1765.16,40.0,0
8B37A79A0,801.34,40.0,0
84E347260,826.24,40.0,0
8C865E590,1434.84,40.0,0
8EFFA9E50,3319.75,40.0,0
91F119770,457.27,40.0,0
90D3F7390,297.6,40.0,0
8F7498E60,6953.91,40.0,0
8E6C6E630,436.52,40.0,0
8E6C80610,1349.94,40.0,0
A2A49DA10,11480.52,40.0,0
86582ADC0,289.19,40.0,0
8170C3540,316.5,40.0,0
870CC41A0,688.69,40.0,0
82C17B9F0,365.2,40.0,0
865841B20,656.45,40.0,0
A2A49DE40,12951.69,40.0,0
8E6C806B0,4824.85,40.0,0
82C19F890,1502.09,40.0,0
8E6C80840,1116.62,40.0,0
92C46EA20,321.67,40.0,0
8D8E4E7C0,516.84,40.0,0
842D85C10,397.96,40.0,0
8DDD5B520,3495.12,40.0,0
842D872D0,651.48,40.0,0
8C869D5E0,479.16,40.0,0
8CE7ECC70,375.52,40.0,0
800FDF170,1898.22,40.0,0
919BB8180,1213.21,40.0,0
8AC40AC00,7247.5,40.0,0
A2A49E390,13309.98,40.0,0
87B52BFC0,330.34,40.0,0
9169A5B40,320.8,40.0,0
84E402BA0,297.01,40.0,0
92C8FBDD0,291.22,40.0,0
801002650,523.4,40.0,0
A2A554910,737.01,40.0,0
80C523C00,4128.37,40.0,0
A2A6737D0,2066.89,40.0,0
84E414C90,465.36,40.0,0
8CE8368A0,462.55,40.0,0
901270C40,1743.28,40.0,0
8849E1BD0,401.16,40.0,0
84302E110,490.8,40.0,0
A2A8AF830,422.37,40.0,0
927B0AEF0,7897.51,40.0,0
A2B0458D0,324.52,40.0,0
8F00DEA30,826.74,40.0,0
8AC509980,1302.91,40.0,0
8AC50A3F0,662.28,40.0,0
8B3A94930,578.9,40.0,0
8EBDFA850,503.52,40.0,0
8E6FE3D00,372.81,40.0,0
923EF6EF0,2133.24,40.0,0
8CE931EF0,1022.49,40.0,0
8D3915530,615.38,40.0,0
82C43F940,480.92,40.0,0
A2B0B0620,3880.49,40.0,0
9111C4CE0,451.41,40.0,0
A2C2A9760,989.59,40.0,0
A2C61EE10,845.39,40.0,0
8C0A1BDA0,334.73,40.0,0
8C0A29090,1687.06,40.0,0
8C8885880,2102.13,40.0,0
8367D6CB0,458.89,40.0,0
80C6FD820,1457.11,40.0,0
8A53357C0,480.41,40.0,0
895485580,395.78,40.0,0
82C45FD60,890.96,40.0,0
87B6AADF0,1452.38,40.0,0
80C729DD0,646.17,40.0,0
821B09A30,427.85,40.0,0
80C750570,554.31,40.0,0
865B9E2E0,986.77,40.0,0
91CA2C890,664.34,40.0,0
84E589640,316.22,40.0,0
A2C9C7350,2150.76,40.0,0
88D4F9FD0,399.27,40.0,0
88D531250,1583.57,40.0,0
865BB64F0,762.77,40.0,0
82C52C600,1391.56,40.0,0
92C636C60,3492.63,40.0,0
8EBE5F9E0,470.15,40.0,0
82C557C40,1324.73,40.0,0
9013FE680,333.66,40.0,0
8FE897AE0,346.27,40.0,0
8A5353BB0,311.09,40.0,0
A2CC930D0,578.53,40.0,0
81744F1A0,3209.8,40.0,0
8C8A52DD0,1845.38,40.0,0
865D680B0,3211.4,40.0,0
A2D042650,544.31,40.0,0
80C88D3F0,481.85,40.0,0
A2E044DF0,312.55,40.0,0
A2E39C420,357.69,40.0,0
87B8B98A0,648.66,40.0,0
8E7130030,800.07,40.0,0
82C5D9BC0,340.77,40.0,0
8B3BBD700,457.73,40.0,0
84347DF30,699.33,40.0,0
912B74E00,310.1,40.0,0
865DCC7D0,1467.93,40.0,0
8957479A0,514.38,40.0,0
821D3FBF0,2621.5,40.0,0
A2E4C5F90,519.17,40.0,0
8175ED490,1711.14,40.0,0
917D335A0,377.38,40.0,0
9145768C0,298.76,40.0,0
8D945C740,419.48,40.0,0
8B3BE5BA0,422.82,40.0,0
91B6C3A60,1386.71,40.0,0
A2E56D850,517.9,40.0,0
87BD04690,714.33,40.0,0
865E91CE0,289.83,40.0,0
A2EF9F270,1135.38,40.0,0
9095AD210,1761.99,40.0,0
916A04640,739.05,40.0,0
8E7293150,499.74,40.0,0
89DFFFE50,291.99,40.0,0
924F21EF0,1468.47,40.0,0
80CA85CC0,475.98,40.0,0
8C0CFC170,1813.04,40.0,0
88D8798E0,1625.6,40.0,0
85AA49C10,375.4,40.0,0
8AC7D4320,326.25,40.0,0
89E152450,1249.69,40.0,0
8BA7EE7A0,494.85,40.0,0
A2F02F710,496.96,40.0,0
80CB832D0,3651.44,40.0,0
8CEA83C70,376.43,40.0,0
912BA8A30,561.41,40.0,0
8EBFE9330,288.81,40.0,0
9014FE3B0,1874.07,40.0,0
90962F660,791.12,40.0,0
89E169C30,1116.86,40.0,0
92B724B90,3992.07,40.0,0
87198B380,777.75,40.0,0
87198B420,767.2,40.0,0
801740E30,374.35,40.0,0
87198B650,1006.22,40.0,0
836D0EF60,886.41,40.0,0
80CC2DE30,872.67,40.0,0
87198B6A0,2351.49,40.0,0
87198BF10,307405.66,40.0,0
87198BF60,3595.27,40.0,0
87198C2C0,563.67,40.0,0
A2F10DA90,1810.84,40.0,0
82C77BC70,291.13,40.0,0
8855F11A0,447.72,40.0,0
A2FEC6410,373.27,40.0,0
87198C900,3585.82,40.0,0
82C793930,2282.61,40.0,0
80CD1E760,351.72,40.0,0
87198CA40,2831.34,40.0,0
87198D050,2770.09,40.0,0
836E26590,684.65,40.0,0
87198D480,1895.26,40.0,0
87198D570,4393.19,40.0,0
87198D6B0,560.22,40.0,0
A2FFE1380,1024.89,40.0,0
87198D7A0,460.7,40.0,0
85AB6D060,375.19,40.0,0
80CD67770,297.64,40.0,0
87198DA70,2692.02,40.0,0
87198DCA0,3600.45,40.0,0
A30766C20,609.78,40.0,0
A30918AD0,1657.57,40.0,0
A3093F340,640.5,40.0,0
8BA95CEB0,3639.28,40.0,0
8E743F5F0,726.17,40.0,0
A30F2AB30,297.92,40.0,0
8663536F0,2927.28,40.0,0
923F19690,811.7,40.0,0
A310A3E60,1461.4,40.0,0
82C8F2450,495.09,40.0,0
A3113C710,649.24,40.0,0
8F4602930,780.71,40.0,0
87BFB4D30,722.58,40.0,0
87BFBCBC0,575.98,40.0,0
91CCBB0D0,1409.88,40.0,0
80CF1BB90,580.38,40.0,0
92C636CB0,3071.84,40.0,0
A3125D140,3497.99,40.0,0
A3136D290,1702.42,40.0,0
8225394C0,744.31,40.0,0
92C636D00,4593.53,40.0,0
8E27F6FA0,497.56,40.0,0
8664BD020,417.79,40.0,0
8B41DA730,534.1,40.0,0
A316EF4F0,2427.71,40.0,0
927C36E30,456.36,40.0,0
A318231C0,450.0,40.0,0
87C0362B0,934.35,40.0,0
90BF2DEB0,3395.85,40.0,0
A318246D0,725.6,40.0,0
9096DCBF0,763.98,40.0,0
82C9AC770,1072.93,40.0,0
92C636DF0,2596.81,40.0,0
A31C33910,848.64,40.0,0
8C0DF39D0,289.5,40.0,0
88DD893E0,1089.54,40.0,0
929B2BCB0,829.68,40.0,0
82C9E0B50,291.58,40.0,0
801B1EB50,358.56,40.0,0
901616BA0,999.26,40.0,0
929B3DA60,1958.53,40.0,0
8ACBDC5F0,950.6,40.0,0
8C0E396A0,2827.68,40.0,0
8DE0DE750,461.81,40.0,0
85AEB08E0,499.87,40.0,0
A31E3FA20,348.05,40.0,0
9016414E0,1953.19,40.0,0
82CA71EF0,897.42,40.0,0
8A58C4960,368.5,40.0,0
92940F5E0,3751.13,40.0,0
8BAC38970,907.2,40.0,0
A31E43DB0,958.32,40.0,0
84F0B6210,395.43,40.0,0
8D412F840,338.7,40.0,0
A32860F10,451.34,40.0,0
A32D348E0,378.44,40.0,0
84F0DC720,720.55,40.0,0
8F03EAA60,1086.71,40.0,0
8D97A7690,466.59,40.0,0
82CACB5E0,351.98,40.0,0
A32D37CB0,404.04,40.0,0
A331059C0,697.68,40.0,0
837231590,472.38,40.0,0
80D0E7F50,498.48,40.0,0
909737400,351.43,40.0,0
92669BD10,292.09,40.0,0
8D4375680,488.88,40.0,0
871E6B7D0,492.12,40.0,0
A33512BA0,482.54,40.0,0
8F7C5B270,294.07,40.0,0
85B01F660,323.61,40.0,0
9219E2A80,1879.95,40.0,0
A3375D3D0,312.8,40.0,0
8C10BAF10,551.66,40.0,0
927C5D2A0,296.23,40.0,0
A33A8FC50,299.54,40.0,0
8669995D0,1940.22,40.0,0
86699CFC0,3309.96,40.0,0
86699D010,3198.41,40.0,0
86699D8D0,3986.47,40.0,0
86699DFA0,4123.07,40.0,0
82CBEF9C0,1984.03,40.0,0
86699E0E0,4047.12,40.0,0
84F446060,750.7,40.0,0
801E460A0,15539.48,40.0,0
8669A3EE0,454.04,40.0,0
A33F71310,403.36,40.0,0
8669A4100,3916.36,40.0,0
8669A4150,1484.49,40.0,0
8669AA310,4058.28,40.0,0
801E568A0,294.17,40.0,0
8669AA360,2699.82,40.0,0
8669AA450,1298.23,40.0,0
8669AA4F0,3773.68,40.0,0
80D20DD00,388.1,40.0,0
85B2C9D30,352.82,40.0,0
84F47D420,721.83,40.0,0
A34083CC0,472.21,40.0,0
84F47E390,296.18,40.0,0
8669AB0D0,1758.29,40.0,0
817F5E7C0,743.31,40.0,0
8669AB170,3616.43,40.0,0
8669AB210,2301.93,40.0,0
8669AB260,2906.8,40.0,0
80D3104B0,383.05,40.0,0
A34178360,28280.9,40.0,0
A34178400,31063.34,40.0,0
817F8D270,483.55,40.0,0
8669AB300,3087.58,40.0,0
843DD98F0,290.41,40.0,0
8669AECF0,1660.88,40.0,0
8669AF190,3979.61,40.0,0
8669B0960,4796.25,40.0,0
8669B09B0,3195.34,40.0,0
837718B90,692.29,40.0,0
837719F60,298.94,40.0,0
8669B0A00,3064.01,40.0,0
A341CE930,320.13,40.0,0
A34A2E6F0,1324.62,40.0,0
8669B0B40,4111.41,40.0,0
85B34E460,1902.37,40.0,0
8669B0B90,1004.6,40.0,0
82CDC3D60,2874.91,40.0,0
8669B1450,4744.19,40.0,0
8669B1630,4601.06,40.0,0
82CE07490,1963.98,40.0,0
82CE0FD20,1394.62,40.0,0
8669B1720,4723.72,40.0,0
A34CF2CC0,754.66,40.0,0
8669B1770,4090.68,40.0,0
8669B1950,4695.09,40.0,0
A34DF53A0,1052.21,40.0,0
8669B19A0,447.51,40.0,0
A34FFA420,1578.49,40.0,0
8669B1A90,2822.03,40.0,0
82CEB7D80,2496.57,40.0,0
8669B2040,4557.05,40.0,0
A3500F1E0,877.39,40.0,0
8669B2840,3568.64,40.0,0
8F0783ED0,807.0,40.0,0
80D6FEEB0,2751.8,40.0,0
8669B3900,4088.81,40.0,0
8669B4EB0,3080.31,40.0,0
8669B4F50,1543.68,40.0,0
8669B54A0,4368.6,40.0,0
843F37E90,317.02,40.0,0
92CB94210,902.98,40.0,0
8669B5BA0,4535.13,40.0,0
8669B5BF0,1020.71,40.0,0
8669B5CE0,3530.51,40.0,0
8669B5F60,3577.71,40.0,0
8669B60A0,4699.87,40.0,0
822C79DD0,3173.49,40.0,0
8669B6F70,770.8,40.0,0
8669B8230,180499.55,40.0,0
80D87CD20,370.42,40.0,0
8669B8460,4128.58,40.0,0
83790ECE0,3160.43,40.0,0
8669B8E50,4147.25,40.0,0
8669B8F90,1508.3,40.0,0
822CDE300,741.57,40.0,0
8669B9030,992.54,40.0,0
8669B9940,4573.29,40.0,0
8669BA040,2880.83,40.0,0
8669BA610,3033.92,40.0,0
8669BA7A0,2793.98,40.0,0
84F6FD010,678.91,40.0,0
8669BA890,2811.64,40.0,0
8669BA8E0,4146.73,40.0,0
A3505A080,460.33,40.0,0
8669BB290,310.5,40.0,0
8F4AF9970,292.9,40.0,0
82D2DF840,491.34,40.0,0
8B475F910,532.83,40.0,0
A3533B690,839.77,40.0,0
822E7C670,386.51,40.0,0
82D2EA5D0,3100.34,40.0,0
85B51F0A0,366.85,40.0,0
8ACF01E30,599.58,40.0,0
8ACF1EE30,935.48,40.0,0
9042AC320,3640.43,40.0,0
885945280,461.05,40.0,0
9042AC370,323.64,40.0,0
9042AC7C0,2303.68,40.0,0
8DE1F4160,3436.18,40.0,0
A35342040,363.93,40.0,0
8C120C220,376.37,40.0,0
9042AD2B0,607.6,40.0,0
88597EAD0,369.51,40.0,0
9042AD300,340.95,40.0,0
8F7CDBA90,695.77,40.0,0
8A5BF10C0,326.05,40.0,0
8C92FE810,401.56,40.0,0
80DA0EEE0,295.62,40.0,0
80DA0EFD0,568.29,40.0,0
89E72E4E0,396.99,40.0,0
9042AD440,2528.25,40.0,0
84FA71D40,910.44,40.0,0
802733B20,293.29,40.0,0
8D455E680,456.34,40.0,0
8E2978700,5826.26,40.0,0
9042ADAF0,1456.52,40.0,0
A356FCC90,490.12,40.0,0
84FB99F30,288.98,40.0,0
885A697F0,2721.2,40.0,0
A35917B40,1633.04,40.0,0
82D475C10,298.8,40.0,0
88E14E330,1536.46,40.0,0
87C40B3E0,369.8,40.0,0
904314AB0,1611.14,40.0,0
9289478C0,979.04,40.0,0
8725854D0,1925.58,40.0,0
A35F3D950,600.38,40.0,0
87C4B7E90,749.81,40.0,0
885AF4420,963.38,40.0,0
8D997C0B0,289.85,40.0,0
8AD18D670,630.88,40.0,0
866D77440,626.65,40.0,0
88E173AE0,1537.3,40.0,0
8E77729B0,403.39,40.0,0
A365F00D0,796.32,40.0,0
8F7DFFEF0,333.01,40.0,0
8DE2EBD90,289.92,40.0,0
89E7E6100,336.05,40.0,0
8187ED360,388.64,40.0,0
A367121B0,304.47,40.0,0
8449987F0,718.77,40.0,0
A36E0AE90,358.76,40.0,0
823228EA0,795.03,40.0,0
823247D00,458.47,40.0,0
8D99E2130,465.37,40.0,0
929B5B490,3892.62,40.0,0
896073ED0,360.47,40.0,0
A372D04C0,430.24,40.0,0
A374A4380,464.71,40.0,0
929B5B4E0,664102.92,40.0,0
906CBBDD0,948.57,40.0,0
92C51EE20,382.22,40.0,0
A377978C0,4369.61,40.0,0
8188A1990,289.29,40.0,0
84FCFEE90,3761.57,40.0,0
8F7E14BC0,1465.78,40.0,0
90C049240,298.5,40.0,0
8188F4130,373.08,40.0,0
914821CC0,994.05,40.0,0
837E87770,955.33,40.0,0
8D47245D0,3203.84,40.0,0
8CF0D4FB0,517.87,40.0,0
8EC5DC020,3361.33,40.0,0
915C2A4B0,806.99,40.0,0
90F55DCE0,417.8,40.0,0
88E246150,454.73,40.0,0
866FBDB40,1449.67,40.0,0
8D9B0E240,715.63,40.0,0
A37D4DBA0,798.59,40.0,0
818988AF0,288.89,40.0,0
80DE69D40,296.26,40.0,0
844B1DEB0,435.3,40.0,0
8DE36C6D0,291.79,40.0,0
8189C2A90,683.94,40.0,0
8EC5E2C00,2975.0,40.0,0
802B79210,16884.04,40.0,0
85B9E4290,438.45,40.0,0
8D9CFDCB0,978.0,40.0,0
8FB6B3F10,420.62,40.0,0
92A922890,391.59,40.0,0
837F24DF0,406.34,40.0,0
8F4D6F730,441.69,40.0,0
896217D20,310.61,40.0,0
9240574A0,1951.04,40.0,0
8C19BE550,858.74,40.0,0
87C8EA040,1629.13,40.0,0
818BFDD90,2784.52,40.0,0
818BFDE30,1164.74,40.0,0
837F85FF0,4105.87,40.0,0
A37EE3780,372.75,40.0,0
8DE3D7590,6066.64,40.0,0
A38B13620,3590.37,40.0,0
88E322980,291.02,40.0,0
A391D6200,377.23,40.0,0
8962A7230,764.29,40.0,0
8E7C33B40,815.12,40.0,0
872EEC690,1384.36,40.0,0
82362DCC0,698.6,40.0,0
87C980150,421.79,40.0,0
818D39560,1350.73,40.0,0
92C636F30,4571.94,40.0,0
929B64630,2252.99,40.0,0
8D9DCD710,838.18,40.0,0
9233B5540,593.68,40.0,0
89E9A86A0,1455.77,40.0,0
8F0B99720,290.41,40.0,0
802EC94B0,294.63,40.0,0
A393E6F10,376.07,40.0,0
911900820,440.12,40.0,0
823786D90,531.41,40.0,0
818D5FD30,49845.35,40.0,0
818D69150,28827.26,40.0,0
8D9DEE6D0,394.27,40.0,0
929B64CE0,891.43,40.0,0
818D69730,21489.19,40.0,0
8380AE900,524.32,40.0,0
844C97790,915.03,40.0,0
91497EF20,830.44,40.0,0
A3968C040,1671.91,40.0,0
A39D4FCA0,291.85,40.0,0
885CC5F40,2598.5,40.0,0
A39EE1620,353.72,40.0,0
885CC5F90,2608.03,40.0,0
A3A402A60,2917.59,40.0,0
A3A48A580,428.25,40.0,0
844CF75F0,290.49,40.0,0
8C97EDAF0,392.58,40.0,0
915D84F80,341.28,40.0,0
A3AB4FEB0,289.26,40.0,0
8C97FB050,288.81,40.0,0
921C423E0,488.63,40.0,0
88E4EDFF0,386.94,40.0,0
8A65A9910,444.05,40.0,0
8DE56CBD0,290.33,40.0,0
8B4DE7EA0,920.88,40.0,0
A3AC0FCD0,1860.08,40.0,0
A3B2360C0,859.77,40.0,0
8C1D3BF00,329.86,40.0,0
823AEDB60,1820.69,40.0,0
8A66B3830,2330.26,40.0,0
8A66B3A20,793.82,40.0,1
852C5BCB0,49608.31,40.0,0
A3B246F70,342.55,40.0,0
8031393C0,445.69,40.0,0
90994D6C0,1521.75,40.0,0
87CB47EF0,1458.64,40.0,0
8E7DB8E50,291.93,40.0,0
8C98399A0,631.74,40.0,0
85045A880,552.19,40.0,0
A3B3E9CD0,964.26,40.0,0
87CBCEAF0,1045.45,40.0,0
819252EC0,398.31,40.0,0
844E9F570,295.74,40.0,0
87CBCEBE0,2989.24,40.0,0
87CBCED70,3917.95,40.0,0
88E572E20,315.97,40.0,0
838270B00,1098.69,40.0,0
838271810,378.19,40.0,0
927D46700,568.74,40.0,0
89660E190,1373.53,40.0,0
873362540,901.5,40.0,0
A3B92B890,777.86,40.0,0
8E7DD97A0,384.04,40.0,0
8D9ED8DC0,1769.81,40.0,0
85C03A820,380.98,40.0,0
8192AA5A0,771.08,40.0,0
803258810,298.99,40.0,0
8B4EA4730,407.64,40.0,0
8C9854910,304.74,40.0,0
A3BA57540,2202.83,40.0,0
823C23B30,771.0,40.0,0
838378380,348.35,40.0,0
8F0EC0340,354.94,40.0,0
8D9EDC570,295.84,40.0,0
8679C92C0,1334.6,40.0,0
87CC711B0,291.23,40.0,0
8451134C0,381.14,40.0,0
850777880,389.71,40.0,0
885F7E6E0,3794.16,40.0,0
8B4FD1980,967.16,40.0,0
A3BA57D80,290.68,40.0,0
8033E5DE0,2605.61,40.0,0
8033E5E80,1321.59,40.0,0
8033E8C80,3200.89,40.0,0
8C9864DF0,360.33,40.0,0
88E6A46A0,344.81,40.0,0
8F5003830,730.47,40.0,0
845193200,400.54,40.0,0
91198F050,1310.9,40.0,0
A3BE3E920,320.58,40.0,0
803598A80,914.9,40.0,0
